𒑱	�
|A.LAGAB×HAL.UD.NUN.KI|	|A.A.A.A.A|
|A.LAGAB×HAL.X|	|A.A.A|
|A.LAGAB×KUL|	|A.A|
|A.LAGAB×KUL.MA₂.ŠU₂.A|	|A.A.A.A.A|
|A.LAGAB×KUL.ŠU₂|	|A.A.A|
|A.LAGAB×KUL.ŠU₂.MA₂.A|	|A.A.A.A.A|
|A.LAGAB.LAGAB|	|A.A.A|
|A.LAGAB×MU|	|A.A|
|A.LAGAR@g|	|A.A@a|
|A×LAGAR@g|	|A@a|
|A.LAK648×A|	|A.A1A|
alal	a
|AL×AL|	|A|
alal₂	a
alal₃	a
alala	a
alalaₓ	a
alalmu	a
alalₓ	a
alam	a
alamaₓ	a
alammuš	a
alammušₓ	a
alamu	a
alamu₂	a
alamuš	a
alamₓ	a
alan	a
ALAN	A
|ALAN&ALAN|	|A&A|
|ALAN×GAN₂@t|	|A@a|
alaŋ	a
alap	a
alaₓ	a
alba	a
alba₂	a
|AL×DIM₂|	|A|
ale	a
ALEPH	A
algames	a
algameš	a
algamešₓ	a
algamis	a
|AL×GIŠ|	|A|
alha	a
|AL×HA|	|A|
ali	a
ālik	a
alikₓ	a
alim	a
alim⁻	a
alima	a
alimₓ	a
|AL×KAD₃|	|A|
|AL×KI|	|A|
alla	a
almu	a
almu₂	a
alpu	a
AL@s	A@a
|AL.ŠE|	|A.A|
|AL×ŠE|	|A|
|AL×TUG₂|	|A|
alu	a
|A.LU₂@s.NA|	|A.A@a.A|
|A.LU₃|	|A.A|
|A.LUM|	|A.A|
aluraₓ	a
alurₓ	a
|AL×UŠ|	|A|
alₓ	a
am	a
am₂	a
am₃	a
am₅	a
am₆	a
am₇	a
ama	a
ama₂	a
ama₄	a
ama₅	a
ama₆	a
amagaₓ	a
amagea	a
amagi	a
amagi₂	a
amagi₃	a
amagi₄	a
amagiₓ	a
amah	a
amalu	a
amaluₓ	a
aman	a
amar	a
AMAR	A
|AMAR&AMAR|	|A&A|
|AMAR.AMAR|	|A.A|
amaraₓ	a
|AMAR.DA|	|A.A|
|AMAR.ERIN₂|	|A.A|
|AMAR.GIŠ|	|A.A|
|AMAR×ŠE|	|A|
|AMAR×ŠE.AMAR×ŠE|	|A.A|
AMAR@t	A@a
|AMAR.UD|	|A.A|
amaš	a
amaša	a
amašₓ	a
amat	a
amaₓ	a
ambar	a
ambara	a
ambarₓ	a
ame	a
ame₂	a
amedu	a
ameₓ	a
ami	a
ami₂	a
|A.MI.A|	|A.A.A|
amma	a
ammaₓ	a
amna	a
amna₂	a
amra	a
amti	a
amtu	a
amurrum	a
amuru	a
amuš	a
|A.MUŠ|	|A.A|
|A×MUŠ|	|A|
|A.MUŠ₃|	|A.A|
|A.MUŠ₃.A.DI|	|A.A.A.A|
|A.MUŠ₃×A.DI|	|A.A.A|
|A.MUŠ₃.DI|	|A.A.A|
|A.MUŠ₃@g|	|A.A@a|
|A.MUŠ₃@g.DI|	|A.A@a.A|
amuša	a
amušₓ	a
amₓ	a
an	a
AN	A
AN@180	A@1
|AN.3×AN|	|A.1A|
ana	a
ana₂	a
ana₃	a
|AN.A.LAGAB×HAL|	|A.A.A|
|AN&AN|	|A&A|
|AN.AN|	|A.A|
|AN.AN.AŠ|	|A.A.A|
|AN.AŠ.A.AN|	|A.A.A.A|
|AN.AŠ.AN|	|A.A.A|
|AN.AŠ@z.AN|	|A.A@a.A|
anbar	a
|AN.BARA₂|	|A.A|
|AN.DIŠ.AN|	|A.A.A|
|AN.DU.AN|	|A.A.A|
|AN.DUGUD|	|A.A|
andulₓ	a
anegi	a
|AN.EN.NU.NUNUZ.NAM.AN.ŠEŠ.KI|	|A.A.A.A.A.A.A.A|
|AN.EN.NU.NUNUZ.ZI.AN.ŠEŠ.KI|	|A.A.A.A.A.A.A.A|
angar	a
|AN.GU₂×KAK|	|A.A|
|AN.GU₂×NUN|	|A.A|
|AN.GU₂×NUN.PA.EL|	|A.A.A.A|
|AN.GU₂×PAP|	|A.A|
|AN.GUD|	|A.A|
|AN.GU×KAK|	|A.A|
angur	a
|AN.HI×GAD|	|A.A|
|AN.HU.MI.IM|	|A.A.A.A|
anig	a
aniku	a
|AN.IM|	|A.A|
|AN.IM.DUGUD|	|A.A.A|
|AN.IM.MI|	|A.A.A|
|AN.LAK397|	|A.A1|
|AN.ME.U.U.U|	|A.A.A.A.A|
|AN.MI.HU|	|A.A.A|
|AN.MUŠ|	|A.A|
|AN.MUŠ₃.AB|	|A.A.A|
|AN.MUŠ₃.AB@g|	|A.A.A@a|
|AN.NA|	|A.A|
|AN.NAGA|	|A.A|
|(AN.NAGA)@(AN.NAGA)|	|(A.A)@(A.A)|
|AN.NI₂.MI|	|A.A.A|
|AN.SAG@g|	|A.A@a|
|AN.SAL.TUG₂.IB|	|A.A.A.A|
anše	a
anše⁻	a
ANŠE	A
anše₂	a
|ANŠE.AN|	|A.A|
|ANŠE.ARAD|	|A.A|
anše@d	a@a
|ANŠE.IGI|	|A.A|
|ANŠE.IGI.DIB|	|A.A.A|
|ANŠE.IGI.EŠ₂|	|A.A.A|
|ANŠE.KUR|	|A.A|
|ANŠE.KUR.RA|	|A.A.A|
|AN.ŠE.NAGA|	|A.A.A|
|AN.ŠE.NAGA.GAL|	|A.A.A.A|
|ANŠE.PA|	|A.A|
|ANŠE×ŠA₃|	|A|
|ANŠE.SAL|	|A.A|
|ANŠE×SAL|	|A|
|AN.ŠEŠ.KI|	|A.A.A|
|ANŠE.UŠ|	|A.A|
anšeₓ	a
anši	a
anšu	a
anšu₂	a
anšuₓ	a
|AN.TU|	|A.A|
anu	a
|AN.U|	|A.A|
anubu	a
|AN.UD.AN.UD|	|A.A.A.A|
anₓ	a
|AN.ZAG|	|A.A|
anzalub	a
anzu	a
anzu₂	a
anzud	a
anzud₂	a
anzuₓ	a
aŋ₂	a
aŋ₃	a
aŋa₂	a
aŋa₃	a
aŋar₅	a
aŋar₆	a
aŋarin	a
aŋarin₂	a
aŋarin₃	a
aŋarin₄	a
aŋarin₅	a
aŋarinₓ	a
aŋarŋara	a
aŋrig	a
ap	a
ap₂	a
ap₃	a
|A.PA.BI.GIŠ.PAD.SI.A|	|A.A.A.A.A.A.A|
|A.PA.BI.GIŠ.PAD.SI.A.GA|	|A.A.A.A.A.A.A.A|
|A.PA.BI.SI.A.GA|	|A.A.A.A.A.A|
|A.PA.GISAL|	|A.A.A|
|A.PA.GISAL.PAD.SI.A|	|A.A.A.A.A.A|
|A.PA.NE.PAD.SI.A|	|A.A.A.A.A.A|
apin	a
APIN	A
apina	a
aq	a
aq₂	a
aqa	a
ar	a
ar₂	a
ar₃	a
ar₅	a
ar₆	a
ara	a
ara₂	a
ara₃	a
ara₄	a
ara₅	a
ara₇	a
ara₈	a
arab	a
arad	a
ARAD	A
arad₂	a
|ARAD.ANŠE|	|A.A|
|ARAD.KU|	|A.A|
|ARAD×KUR|	|A|
|ARAD.RA|	|A.A|
aragub	a
arah₃	a
arah₄	a
araha	a
arahₓ	a
arala	a
arali	a
araliₓ	a
arar	a
ararama	a
ararama₂	a
ararim	a
ararimₓ	a
ararma	a
ararma₂	a
ARARMA₂~a	A~a
arata	a
araṭa	a
aratta	a
arattaₓ	a
arba	a
arda	a
argab	a
arhu	a
arhuš	a
arhus₂	a
arhuš₂	a
arhuš₃	a
arhuš₅	a
arhuš₆	a
arhuš₇	a
arhušₓ	a
ari	a
ari₂	a
ari₃	a
ari₆	a
arina	a
arinaₓ	a
arkab	a
arkab₂	a
ARKAB₂	A
|ARKAB₂.IB|	|A.A|
arkabₓ	a
armanuₓ	a
arrap	a
aru	a
arₓ	a
as	a
aś	a
aš	a
AŠ	A
aṣ	a
aš₁₀	a
aš₁₁	a
|AŠ×1(AŠ@t)|	|A1(A@a)|
as₂	a
aš₂	a
AŠ₂	A
aṣ₂	a
|AŠ₂.A|	|A.A|
|AŠ₂.GAR₃|	|A.A|
|AŠ₂.U|	|A.A|
|AŠ₂.U&U|	|A.A&A|
as₃	a
aš₃	a
AŠ₃	A
aṣ₃	a
|AŠ₃+DIŠ|	|A+A|
as₄	a
aš₄	a
as₅	a
aš₅	a
as₆	a
aš₆	a
aš₇	a
aš₈	a
aš₉	a
asa	a
|A.SA|	|A.A|
aša	a
AŠ~a	A~a
asa₂	a
aša₂	a
aša₃	a
aša₅	a
|AŠ.A.AN|	|A.A.A|
asag	a
|A.SAG|	|A.A|
|A×SAG|	|A|
ašag	a
asagₓ	a
asal	a
asal₂	a
ASAL₂~a	A~a
asal₃	a
asalₓ	a
ašalₓ	a
|AŠ.AN.AŠ|	|A.A.A|
asaŋ	a
ašaŋ₂	a
asaŋₓ	a
asar	a
asar₂	a
ašar₂	a
asara	a
asari	a
ašarid	a
ašaridu	a
asaru	a
|AŠ.AŠ|	|A.A|
|AŠ&AŠ@180|	|A&A@1|
|(AŠ&AŠ@180)×U|	|(A&A@1)A|
|AŠ&AŠ&AŠ.AŠ|	|A&A&A.A|
|AŠ&AŠ&AŠ%AŠ&AŠ&AŠ|	|A&A&A%A&A&A|
|AŠ&AŠ&AŠ.AŠ&AŠ&AŠ|	|A&A&A.A&A&A|
|AŠ&AŠ&AŠ.AŠ&AŠ&AŠ.AŠ|	|A&A&A.A&A&A.A|
|AŠ&AŠ&AŠ.AŠ&AŠ&AŠ.TAB|	|A&A&A.A&A&A.A|
|AŠ&AŠ&AŠ.TAB|	|A&A&A.A|
|AŠ&AŠ.TUG₂&TUG₂.TUG₂&TUG₂.PAP|	|A&A.A&A.A&A.A|
asaₓ	a
|AŠ×BAD|	|A|
ašbarₓ	a
aš@c	a@a
AŠ@c	A@a
aš@c@90	a@a@1
AŠ@c@90	A@a@1
aš@c@v	a@a@a
AŠ@c@v	A@a@a
ašdar	a
ašdar₂	a
|AŠ×DIŠ@t|	|A@a|
|A.ŠE.NUN&NUN|	|A.A.A&A|
aš@f	a@a
AŠ@f	A@a
ašgab	a
AŠGAB	A
ašgabgalₓ	a
|AŠ.GAN|	|A.A|
|AŠ.GAN₂|	|A.A|
ašgarₓ	a
ašgi	a
ašgi₂	a
|AŠ.HI×DIŠ.GI₄|	|A.A.A|
asi	a
|A.SIG|	|A.A|
asil	a
asil₃	a
asil₄	a
asil₅	a
asil₆	a
asila	a
asila⁻	a
asila₂	a
asila₃	a
asila₄	a
asila₅	a
asila₆	a
asilal	a
asilal₂	a
asilal₃	a
asilal₄	a
asilal₅	a
asilal₆	a
asilalₓ	a
asilaₓ	a
asilla₂	a
asillal₃	a
asilₓ	a
ašita	a
AŠ@k	A@a
|AŠ@k&AŠ@k&AŠ@k&AŠ@k|	|A@a&A@a&A@a&A@a|
aski	a
aški	a
aškiₓ	a
aškud	a
aškud₂	a
aškudₓ	a
ašlag	a
ašlag₂	a
ašlag₃	a
ašlag₄	a
ašlag₅	a
ašlag₆	a
ašlag₇	a
ašlug	a
aslum	a
aslumₓ	a
ašnan	a
ašnan₂	a
ašnana	a
ašnanₓ	a
ašša	a
ašša₂	a
ašša₃	a
aššan	a
|AŠ+SUR|	|A+A|
aš@t	a@a
AŠ@t	A@a
ašta	a
ašte	a
ašte₂	a
ašteₓ	a
aštub	a
|A.SU|	|A.A|
|A.ŠU₂.NAGA|	|A.A.A|
|A.ŠU₂.U₂.NAGA|	|A.A.A.A|
|A.SUD|	|A.A|
|A×SUD@90|	|A@1|
|A.ŠU.NAGA|	|A.A.A|
aš@v	a@a
AŠ@v	A@a
asₓ	a
ašₓ	a
AŠ@z	A@a
|AŠ@z&AŠ@z&AŠ@z|	|A@a&A@a&A@a|
|AŠ@z&AŠ@z&AŠ@z&AŠ@z|	|A@a&A@a&A@a&A@a|
at	a
A@t	A@a
aṭ	a
at₂	a
aṭ₂	a
at₆	a
|A.TAR.A.AN|	|A.A.A.A|
|A.TU|	|A.A|
aṭu	a
|A.TU.A.TU.GABA.LIŠ|	|A.A.A.A.A.A|
|A.TU.GABA|	|A.A.A|
|A.TU.GABA.LIŠ|	|A.A.A.A|
|A.TU.GABA.LIŠ.GAR|	|A.A.A.A.A|
|A.TU.GABA.SIG.GAR|	|A.A.A.A.A|
atum	a
atumₓ	a
|A.TU.NUN&NUN|	|A.A.A&A|
|A.TU.NUN&NUN.GABA.LIŠ|	|A.A.A&A.A.A|
|A.TU.NUN&NUN.LIŠ|	|A.A.A&A.A|
|A.TUR|	|A.A|
au	a
|A.U.EDIN.LAL|	|A.A.A.A|
|A.U.KA|	|A.A.A|
aw	a
aₓ	a
aya	a
aya₂	a
aya₃	a
aya₄	a
ayaₓ	a
ayayaₓ	a
aye	a
ayi	a
ayu	a
ayya	a
ayye	a
ayyi	a
ayyu	a
az	a
az⁻	a
az₂	a
az₃	a
aza	a
aza₂	a
azad	a
azad₂	a
azadₓ	a
azag	a
azag₂	a
azak	a
azalag	a
azalag₂	a
azalag₃	a
azalag₄	a
azalag₅	a
azalag₆	a
azalag₇	a
azalₓ	a
|A.ZA.MUŠ₂|	|A.A.A|
|A.ZI&ZI|	|A.A&A|
|A.ZI&ZI.A|	|A.A&A.A|
|A.ZI&ZI.EŠ₂|	|A.A&A.A|
|A.ZI&ZI.LAGAB|	|A.A&A.A|
azlag	a
azlag₂	a
azlag₃	a
azlag₄	a
azlag₅	a
azlag₆	a
azlag₇	a
azlaggalₓ	a
azlagₓ	a
azu	a
azubir	a
azudₓ	a
azugna	a
azukna	a
aʾ	a
aʾ₃	a
aʾa₃	a
aʾuʾaₓ	a
aʾuʾu	a
ba	a
BA	A
ba₁₁	a
ba₁₃	a
ba₁₄	a
ba₁₅	a
ba₂	a
ba₃	a
ba₄	a
ba₆	a
ba₇	a
ba₈	a
ba₉	a
bab	a
bab₂	a
baba₂	a
babar	a
babar₂	a
babbar	a
babbar₂	a
babila	a
babila₂	a
babilaₓ	a
babilim	a
babilim₂	a
babilima	a
babilima₂	a
babir	a
babir₂	a
babu	a
bad	a
BAD	A
bad₂	a
bad₃	a
BAD₃@90	A@1
bad₄	a
bad₅	a
bada	a
bada₃	a
|BAD.AŠ|	|A.A|
|BAD×AŠ@t|	|A@a|
|BAD&BAD|	|A&A|
|BAD.BAD|	|A.A|
|BAD&BAD.X|	|A&A.A|
|BAD×DIŠ|	|A|
|BAD×DIŠ@t|	|A@a|
badi	a
|BAD.IGI.BAD|	|A.A.A|
|BAD.KASKAL|	|A.A|
|BAD.LU₂|	|A.A|
|BAD.MI|	|A.A|
|BAD.UD|	|A.A|
badₓ	a
|BAD.X|	|A.A|
baeš	a
bag	a
bag₂	a
bag₃	a
BAG₃	A
bah	a
bah₃	a
bahar	a
bahar₂	a
BAHAR₂	A
|BAHAR₂×AB₂|	|A|
|BAHAR₂×GU|	|A|
|BAHAR₂×NI|	|A|
|BAHAR₂×ZA|	|A|
bahar₃	a
bahar₄	a
bahar₅	a
bahargalₓ	a
baharₓ	a
bak	a
bak₂	a
bak₃	a
bakiru	a
bakirum	a
bal	a
BAL	A
bal₂	a
bal₃	a
bal₄	a
bala	a
balag	a
BALAG	A
|BALAG.A|	|A.A|
|BALAG.DIN.AN.MUŠ|	|A.A.A.A|
|BALAG.KID|	|A.A|
|BALAG.LUL|	|A.A|
|BALAG.TUR|	|A.A|
balak	a
balaŋ	a
balaₓ	a
|BAL&BAL|	|A&A|
baliha	a
balla	a
balla₂	a
ballaₓ	a
bamen	a
bamin	a
ban	a
ban₂	a
ban₂@c	a@a
ban₂@v	a@a
BAN₂@v	A@a
ban₃	a
ban₄	a
bana	a
banda₂	a
banda₃	a
banda₄	a
banda₅	a
bandiliša	a
bandurₓ	a
baneš	a
bangašₓ	a
bania	a
baniaₓ	a
banlimmu	a
banmin	a
bansur	a
banšur	a
bansur₂	a
banšur₂	a
bansur₃	a
banšur₃	a
banšura	a
banšurₓ	a
banₓ	a
bap	a
bappir	a
bappir₂	a
bappir₃	a
bappira	a
bappira₂	a
bappira₃	a
bappirₓ	a
baq	a
bar	a
BAR	A
bar₂	a
bar₃	a
|BAR.3×AN|	|A.1A|
bar₄	a
bar₅	a
bar₆	a
bar₇	a
bar₈	a
bara	a
bara₁₀	a
bara₂	a
BARA₂	A
|BARA₂.BI|	|A.A|
|BARA₂.PAP.PAP|	|A.A.A|
|BARA₂.PAP.ŠE.PAP|	|A.A.A.A|
bara₃	a
bara₄	a
bara₅	a
bara₆	a
bara₇	a
bara₈	a
bara₉	a
barag	a
barag₂	a
baragₓ	a
|BAR.AN|	|A.A|
|BAR×AN|	|A|
baraₓ	a
|BAR.BAHAR₂|	|A.A|
bare	a
|BAR.EDIN|	|A.A|
BAR@g	A@a
|BAR.HU.KAK|	|A.A.A|
barig	a
bariga	a
bariga@c	a@a
barig@c	a@a
barim	a
barim⁻	a
barimₓ	a
barsip	a
|BAR×TAB|	|A|
barₓ	a
barzil	a
baštum	a
bat	a
baṭ	a
bat₂	a
bat₃	a
bat₅	a
bata	a
batu	a
baₓ	a
bazbazₓ	a
be	a
be₂	a
be₃	a
be₄	a
be₅	a
be₆	a
be₇	a
bebad	a
bed	a
bed₃	a
bek	a
bel	a
bel₂	a
belili	a
ber	a
ber₂	a
ber₅	a
ber₆	a
ber₇	a
beš₁₂	a
bešeŋ	a
bet	a
bet₃	a
betu	a
bi	a
BI	A
bi₂	a
bi₃	a
bi₄	a
bi₅	a
bi₆	a
bi₇	a
|BI×A|	|A|
|BI.A.SUD|	|A.A.A|
bibad	a
|BI×BAD|	|A|
bibe	a
bibra	a
bibri	a
bid	a
bid₂	a
bid₃	a
|BI.DAR|	|A.A|
|BI.DIN|	|A.A|
|BI×DIŠ|	|A|
big	a
|BI×GAR|	|A|
|BI.GIŠ|	|A.A|
|BI.GIŠ.GAD.A.A.SI|	|A.A.A.A.A.A|
|BI×IGI|	|A|
|BI×IGI@g|	|A@a|
bik	a
|BI.KI|	|A.A|
|BI.KI.GAR|	|A.A.A|
bil	a
bil₂	a
BIL₂@g	A@a
bil₃	a
bil₄	a
bila	a
bilgaₓ	a
bili	a
billuda	a
billudu	a
biltu	a
biluda	a
|BI.LUL|	|A.A|
bilₓ	a
|BI.MI|	|A.A|
bin	a
bir	a
bir₂	a
bir₃	a
bir₄	a
bir₅	a
bir₆	a
bir₇	a
bir₈	a
bir₉	a
birdu	a
biri	a
birₓ	a
biš	a
bis₂	a
bisag	a
bisag₂	a
bisag₃	a
bisagₓ	a
bisan	a
bisan₂	a
bisan₃	a
bisanₓ	a
bisaŋ	a
bisaŋ₂	a
bisaŋ₃	a
|BI.SUD.A|	|A.A.A|
bit	a
biṭ	a
bit₂	a
bit₃	a
biti	a
bitu	a
bītu	a
bitum	a
|BI.U₂.SA|	|A.A.A|
|BI.U₂.SA.KA.KAK|	|A.A.A.A.A|
|BI.UD.SUD|	|A.A.A|
|BI.UŠ.SA|	|A.A.A|
biₓ	a
biz	a
biz₂	a
bizaza	a
bizeg₃	a
bizem₃	a
|BI.ZIZ₂|	|A.A|
|BI.ZIZ₂.A.AN|	|A.A.A.A|
|BI.ZIZ₂.AN|	|A.A.A|
|BI.ZIZ₂.AN.NA|	|A.A.A.A|
bu	a
BU	A
bu₁₀	a
bu₁₁	a
bu₁₂	a
bu₁₃	a
bu₁₄	a
bu₁₅	a
bu₁₆	a
bu₂	a
bu₃	a
bu₄	a
bu₅	a
bu₆	a
bu₇	a
bu₈	a
BU@90	A@1
|BU@90.BU.NA₂|	|A@1.A.A|
|BU@90.BU.UN|	|A@1.A.A|
bubbu	a
bubbur	a
bube	a
|BU%BU|	|A%A|
|BU&BU|	|A&A|
|BU.BU|	|A.A|
|BU%BU×AB|	|A%A|
|BU&BU.AB|	|A&A.A|
|(BU&BU)×NA₂|	|(A&A)A|
|(BU&BU)×NA₂.A|	|(A&A)A.A|
|BU&BU.UN|	|A&A.A|
bubuₓ	a
|BU.DIN.BALAG.DAR|	|A.A.A.A|
|BU.DIN.BALAG.NUN|	|A.A.A.A|
būdu	a
BU@g	A@a
bugin	a
bugin₂	a
bugin₄	a
buglu	a
buh	a
buhₓ	a
buk	a
bukinₓ	a
bul	a
bul₂	a
bul₃	a
bul₅	a
bula	a
bulug	a
BULUG	A
bulug₂	a
bulug₃	a
bulug₄	a
bulug₅	a
|BULUG&BULUG|	|A&A|
|BULUG.NAGAR|	|A.A|
bulugₓ	a
buluh	a
bulunₓ	a
buluŋ	a
buluŋ₂	a
buluŋ₃	a
buluŋ₅	a
buluₓ	a
bulₓ	a
bum	a
bum₂	a
bun	a
bun₂	a
bunga	a
bungaₓ	a
bungu	a
buni	a
bunin	a
bunin₂	a
bunin₄	a
buninₓ	a
buniŋ	a
buniŋ₂	a
buniŋₓ	a
|BU.NUN.ŠE.EŠ₂|	|A.A.A.A|
|BU.NU.NUN.LUH.EŠ₂|	|A.A.A.A.A|
bunₓ	a
bur	a
BUR	A
bur₁₀	a
bur₁₁	a
bur₁₂	a
bur₁₃	a
bur₁₄	a
bur₂	a
BUR₂	A
|BUR₂.BUR₂|	|A.A|
bur₃	a
bur₃@c	a@a
bur₃@v	a@a
BUR₃@v	A@a
bur₄	a
bur₅	a
bur₆	a
bur₇	a
bur₈	a
buranun	a
buranuna	a
buranunaₓ	a
buranunu	a
buranunₓ	a
buriaₓ	a
|BUR.NU₁₁|	|A.A|
|BUR.NU₁₁.LA.HU|	|A.A.A.A|
buru	a
buru₁₁	a
buru₁₄	a
buru₁₆	a
buru₁₇	a
buru₂	a
buru₃	a
buru₄	a
buru₅	a
BURU₅	A
|BURU₅×AMAR@t|	|A@a|
buru₆	a
buru₇	a
buru₈	a
buru₉	a
burudₓ	a
buruh	a
burumₓ	a
burunun	a
burununa	a
bur'uₓ	a'a
buruₓ	a
burₓ	a
burʾu	a
burʾu@c	a@a
burʾuₓ	a
buš	a
buš₂	a
|BU.ŠE.EŠ₂.NUN|	|A.A.A.A|
BU@t	A@a
bute	a
buti	a
butu	a
buₓ	a
buzur	a
buzur₂	a
buzur₃	a
buzur₄	a
buzur₅	a
d	a
da	a
DA	A
da₁₀	a
da₁₂	a
da₁₃	a
da₂	a
da₃	a
da₄	a
da₅	a
da₆	a
da₇	a
da₈	a
da₉	a
dab	a
dab₂	a
dab₃	a
dab₄	a
dab₅	a
dab₆	a
daba	a
daba₅	a
daban	a
dabašin	a
dabaₓ	a
dabda₂	a
dabe	a
dabin	a
dabₓ	a
dad	a
dadag	a
dadagₓ	a
dadda	a
dag	a
DAG	A
dag₂	a
dag₃	a
|DAG₃.KISIM₅×(U₂.GIR₂)|	|A.A(A.A)|
dag₅	a
|DAG.AB₂×LA|	|A.A|
dagal	a
dagala	a
|DAG.E₂.NUN|	|A.A.A|
|DA×GIŠ@t|	|A@a|
|DAG.KISIM₅|	|A.A|
|DAG.KISIM₅×(A.MAŠ)|	|A.A(A.A)|
|DAG.KISIM₅×BALAG|	|A.A|
|DAG.KISIM₅×BI|	|A.A|
|DAG.KISIM₅×EN|	|A.A|
|DAG.KISIM₅×GA|	|A.A|
|DAG.KISIM₅×(GA.MAŠ)|	|A.A(A.A)|
|DAG.KISIM₅×GI|	|A.A|
|DAG.KISIM₅×GIR₂|	|A.A|
|DAG.KISIM₅×GUD|	|A.A|
|DAG.KISIM₅×HA|	|A.A|
|DAG.KISIM₅×IR|	|A.A|
|DAG.KISIM₅×(IR.LU)|	|A.A(A.A)|
|DAG.KISIM₅×KAK|	|A.A|
|DAG.KISIM₅×LA|	|A.A|
|DAG.KISIM₅×LU|	|A.A|
|DAG.KISIM₅×LUM|	|A.A|
|DAG.KISIM₅×(LU.MAŠ₂)|	|A.A(A.A)|
|DAG.KISIM₅×NE|	|A.A|
|DAG.KISIM₅×(PAP.PAP)|	|A.A(A.A)|
|DAG.KISIM₅×ŠE|	|A.A|
|DAG.KISIM₅×SI|	|A.A|
|DAG.KISIM₅×TAK₄|	|A.A|
|DAG.KISIM₅×U|	|A.A|
|DAG.KISIM₅×(U₂.GIR₂)|	|A.A(A.A)|
|DAG.KISIM₅×UŠ|	|A.A|
|DAG.KISIM₅×X|	|A.A|
|DAG×KUR|	|A|
dagrim	a
dagrin	a
dagₓ	a
dah	a
dak	a
dak₃	a
dakan	a
dakkan	a
dal	a
dal₃	a
dala	a
dala₂	a
dalhamun	a
dalhamun₂	a
dalhamun₃	a
dalhamun₄	a
dalhamun₅	a
dalhamun₆	a
dalhamun₇	a
dalhamunₓ	a
dalla	a
dalla₂	a
dallaₓ	a
dalₓ	a
dam	a
DAM	A
dam₀	a
dam₂	a
dam₃	a
dama	a
damal	a
damiqₓ	a
damu	a
damu₂	a
dan	a
dan₂	a
dan₃	a
dan₄	a
dan₆	a
dan₇	a
dana	a
dana₂	a
dana₃	a
danaₓ	a
danna	a
danna₂	a
dannu	a
danₓ	a
daŋal	a
daŋalₓ	a
dap	a
dap₂	a
dapa₂	a
dapar	a
dapara	a
daparaₓ	a
daparu	a
daparuₓ	a
daq	a
daq₃	a
daq₆	a
dar	a
DAR	A
dar₂	a
dar₃	a
dar₄	a
dar₆	a
dara₂	a
dara₃	a
DARA₃	A
|DARA₃×MA|	|A|
dara₄	a
DARA₄	A
DARA₄~b	A~a
dara₅	a
dara₆	a
daramₓ	a
darengal	a
dari₂	a
dari₅	a
daru₂	a
daru₅	a
darum₂	a
das	a
daš	a
daš₂	a
daš₃	a
dašgari	a
dat	a
|DA×TAK₄|	|A|
|DA.UŠ|	|A.A|
daₓ	a
de	a
de₁₀	a
de₂	a
DE₂	A
de₃	a
de₄	a
de₅	a
de₆	a
de₈	a
de₉	a
deb	a
deb₂	a
degiₓ	a
degₓ	a
deh	a
deh₂	a
deh₃	a
dehi	a
dehi₂	a
dehi₃	a
dehi₄	a
del	a
del₂	a
del₄	a
dele	a
dele₄	a
delen	a
delen₂	a
delen₃	a
delena	a
delena₂	a
delena₃	a
deli	a
dellu	a
delmun	a
dem₂	a
dema	a
demma	a
demmu	a
demu	a
den	a
der	a
dergul	a
derₓ	a
deš	a
deš₂	a
deš₃	a
deš₅	a
dešaₓ	a
deššu	a
deššuₓ	a
dešₓ	a
deₓ	a
di	a
DI	A
di₁₁	a
di₁₂	a
di₂	a
di₃	a
di₄	a
di₅	a
di₆	a
di₇	a
di₈	a
dib	a
DIB	A
dib₂	a
dib₅	a
dibi	a
dibira	a
dibur	a
dibₓ	a
dida	a
dida₂	a
didalₓ	a
didanu	a
didanum	a
|DI.DI|	|A.A|
didla	a
didli	a
didnu	a
didnum	a
dig	a
digbir	a
digi	a
digir	a
dih	a
dih₂	a
dih₃	a
dihi	a
dihi₂	a
dihi₃	a
dik	a
dil	a
dil₂	a
dil₂⁻	a
dil₄	a
dili	a
dili₂	a
dili₄	a
dilib	a
dilib₂	a
dilib₃	a
dilib₄	a
dilib₅	a
dilib₆	a
dilibₓ	a
dilim	a
dilim₂	a
dilim₃	a
dilim₄	a
dilim₅	a
dilimₓ	a
dilin	a
dilin₂	a
dilin₃	a
dilina	a
dilina₂	a
dilina₃	a
dilmun	a
dilmuna	a
dilmunₓ	a
dilu	a
dilur	a
dilurₓ	a
dim	a
DIM	A
dim₁₀	a
dim₁₁	a
dim₁₂	a
dim₁₃	a
dim₂	a
DIM₂	A
|DIM₂×SU|	|A|
|DIM₂×UD|	|A|
dim₃	a
dim₄	a
dim₅	a
dim₇	a
dim₈	a
dim₉	a
dima	a
dima₂	a
dimer	a
|DIM×EŠ|	|A|
DIM@g	A@a
dimgal	a
dimgul	a
dimgulₓ	a
|DIM×IGI|	|A|
dimir	a
|DIM×KUR.SAR|	|A.A|
dimma	a
|DIM×MAŠ|	|A|
dimmer	a
dimmu	a
dimmuš	a
dimna	a
dimsar	a
|DIM×ŠE|	|A|
dimu	a
dimuš	a
dimₓ	a
din	a
DIN	A
|DIN.BI|	|A.A|
diner	a
dingir	a
dingira	a
dini	a
dinig	a
dinig₂	a
